Date,Open,High,Low,Close,Close Change %,Volume,Weekday,High % Above Open,
"Wednesday, August 29, 2018","2,900.62","2,916.50","2,898.40","2,914.04",0.57%,"1,761,496,009",Wednesday,0.547469162,
"Tuesday, August 28, 2018","2,901.45","2,903.77","2,893.50","2,897.52",0.03%,"1,788,301,628",Tuesday,0.07996002,
"Monday, August 27, 2018","2,884.69","2,898.25","2,884.69","2,896.74",0.77%,"2,055,945,918",Monday,0.470067841,
"Friday, August 24, 2018","2,862.35","2,876.16","2,862.35","2,874.69",0.62%,"1,675,497,534",Friday,0.482470697,
"Thursday, August 23, 2018","2,860.29","2,868.78","2,854.03","2,856.98",-0.17%,"1,653,913,646",Thursday,0.296823049,
"Wednesday, August 22, 2018","2,860.99","2,867.54","2,856.05","2,861.82",-0.04%,"1,583,705,458",Wednesday,0.22894173,
"Tuesday, August 21, 2018","2,861.51","2,873.23","2,861.32","2,862.96",0.21%,"1,897,094,700",Tuesday,0.409573966,
"Monday, August 20, 2018","2,853.93","2,859.76","2,850.62","2,857.05",0.24%,"1,673,590,011",Monday,0.204279713,
"Friday, August 17, 2018","2,838.32","2,855.63","2,833.73","2,850.13",0.33%,"1,897,228,859",Friday,0.609867809,
"Thursday, August 16, 2018","2,831.44","2,850.49","2,831.44","2,840.69",0.79%,"1,990,092,035",Thursday,0.672802532,
"Wednesday, August 15, 2018","2,827.95","2,827.95","2,802.49","2,818.37",-0.76%,"2,170,175,043",Wednesday,0,
"Tuesday, August 14, 2018","2,827.88","2,843.11","2,826.58","2,839.96",0.64%,"1,733,260,850",Tuesday,0.538565993,
"Monday, August 13, 2018","2,835.46","2,843.40","2,819.88","2,821.93",-0.40%,"1,852,090,896",Monday,0.280025111,
"Friday, August 10, 2018","2,839.64","2,842.20","2,825.81","2,833.28",-0.71%,"1,817,775,083",Friday,0.090152273,
"Thursday, August 09, 2018","2,857.19","2,862.48","2,851.98","2,853.58",-0.14%,"1,670,803,074",Thursday,0.185146945,
"Wednesday, August 08, 2018","2,856.79","2,862.44","2,853.09","2,857.70",-0.03%,"1,624,654,644",Wednesday,0.197774425,
"Tuesday, August 07, 2018","2,855.92","2,863.43","2,855.92","2,858.45",0.28%,"1,792,641,161",Tuesday,0.262962548,
"Monday, August 06, 2018","2,840.29","2,853.29","2,835.98","2,850.40",0.35%,"1,755,402,887",Monday,0.457699742,
"Friday, August 03, 2018","2,829.62","2,840.38","2,827.37","2,840.35",0.46%,"1,829,936,668",Friday,0.380263074,
"Thursday, August 02, 2018","2,800.48","2,829.91","2,796.34","2,827.22",0.49%,"2,040,386,957",Thursday,1.050891276,
"Wednesday, August 01, 2018","2,821.17","2,825.83","2,805.85","2,813.36",-0.10%,"2,200,609,136",Wednesday,0.165179695,
"Tuesday, July 31, 2018","2,809.73","2,824.46","2,808.06","2,816.29",0.49%,"2,449,761,064",Tuesday,0.524249661,
"Monday, July 30, 2018","2,819.00","2,821.74","2,798.11","2,802.60",-0.58%,"2,240,038,041",Monday,0.097197588,
"Friday, July 27, 2018","2,842.35","2,843.17","2,808.34","2,818.82",-0.66%,"2,343,658,703",Friday,0.028849368,
"Thursday, July 26, 2018","2,835.49","2,845.57","2,835.26","2,837.44",-0.30%,"2,578,242,516",Thursday,0.355494112,
"Wednesday, July 25, 2018","2,817.73","2,848.03","2,817.73","2,846.07",0.91%,"2,288,128,263",Wednesday,1.075333691,
"Tuesday, July 24, 2018","2,820.68","2,829.99","2,811.12","2,820.40",0.48%,"2,183,986,783",Tuesday,0.330062254,
"Monday, July 23, 2018","2,799.17","2,808.61","2,795.14","2,806.98",0.18%,"1,863,978,314",Monday,0.337242826,
"Friday, July 20, 2018","2,804.55","2,809.70","2,800.01","2,801.83",-0.09%,"2,082,882,088",Friday,0.183630172,
"Thursday, July 19, 2018","2,809.37","2,812.05","2,799.77","2,804.49",-0.40%,"2,110,255,100",Thursday,0.095395053,
"Wednesday, July 18, 2018","2,811.35","2,816.76","2,805.89","2,815.62",0.22%,"1,946,267,157",Wednesday,0.19243424,
"Tuesday, July 17, 2018","2,789.34","2,814.19","2,789.24","2,809.55",0.40%,"1,848,700,381",Tuesday,0.890891752,
"Monday, July 16, 2018","2,801.43","2,803.71","2,793.39","2,798.43",-0.10%,"1,791,632,454",Monday,0.081387006,
"Friday, July 13, 2018","2,796.93","2,804.53","2,791.69","2,801.31",0.11%,"1,757,998,396",Friday,0.2717265,
"Thursday, July 12, 2018","2,783.14","2,799.22","2,781.53","2,798.29",0.87%,"1,862,928,000",Thursday,0.577764683,
"Wednesday, July 11, 2018","2,779.82","2,785.91","2,770.77","2,774.02",-0.71%,"1,806,015,298",Wednesday,0.219078933,
